S No.,name,genre,type,episodes,rating,Anime_Archetype
4090,Spriggan,"Adventure, Military, Sci-Fi, Shounen",Movie,1,6.81,
4091,Star Driver the Movie,"Action, Mecha, Romance, Shounen",Movie,1,6.81,
4092,Tekken: Blood Vengeance,"Action, Fantasy, Martial Arts, Sci-Fi, Supernatural",Movie,1,6.81,Obliviscaris Spire
4093,Tenkuu Senki Shurato: Sousei e no Anto,"Action, Fantasy, Magic, Shounen",OVA,6,6.81,Chronovault Nexus
4094,Tottoko Hamtarou Movie 2: Ham-Ham Hamuuja! Maboroshi no Princess,"Adventure, Comedy, Kids",Movie,1,6.81,Chronovault Nexus
4095,Transformers Micron Densetsu,"Action, Mecha, Sci-Fi, Shounen",TV,52,6.81,
4096,Wagaya no Oinari-sama. Specials,"Adventure, Comedy, Fantasy, Shounen, Supernatural",Special,12,6.81,Obliviscaris Spire
4097,Wan Wan Celepoo Soreyuke! Tetsunoshin,"Comedy, Fantasy, Kids",TV,51,6.81,Chronovault Nexus
4098,Yoroiden Samurai Troopers Kikoutei Densetsu,"Adventure, Fantasy, Samurai, Shounen",OVA,4,6.81,Aetherial Sanctum
4099,Yuu☆Yuu☆Hakusho: Mu Mu Hakusho,Comedy,OVA,4,6.81,Luminarch Dominion
4100,3-gatsu no Lion meets Bump of Chicken,"Drama, Music, Seinen",Music,1,6.8,Luminarch Dominion
4101,Bannou Bunka Neko-Musume,"Adventure, Comedy, Mecha, Sci-Fi, Seinen",OVA,6,6.8,
4102,Choujikuu Seiki Orguss,"Action, Adventure, Mecha, Romance, Sci-Fi, Shounen",TV,35,6.8,
4103,Chuuzumou,Comedy,Movie,1,6.8,Luminarch Dominion
4104,DearS,"Comedy, Ecchi, Harem, Romance, Sci-Fi",TV,12,6.8,Celestara Veil
4105,Di Gi Charat Tsuyu Specials,Comedy,Special,2,6.8,Luminarch Dominion
4106,Doraemon: Ganbare! Gian!!,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,6.8,Chronovault Nexus
4107,Eyeshield 21: Maboroshi no Golden Bowl,"Shounen, Sports",Movie,1,6.8,Obliviscaris Spire
4108,Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!,"Comedy, Fantasy, Magic",OVA,1,6.8,Chronovault Nexus
4109,Fortune Dogs,Adventure,TV,39,6.8,Chronovault Nexus
4110,Full Moon wo Sagashite: Kawaii Kawaii Daibouken,"Comedy, Fantasy, Supernatural",Special,1,6.8,Chronovault Nexus
4111,Gakuen Heaven,"Comedy, Drama, Romance, School, Shounen Ai",TV,13,6.8,Celestara Veil
4112,Gift: Eternal Rainbow,"Comedy, Drama, Harem, Magic, Romance, School",TV,12,6.8,Celestara Veil
4113,Gilgamesh,"Drama, Fantasy, Sci-Fi, Supernatural",TV,26,6.8,Chronovault Nexus
4114,God Eater Prologue,"Action, Fantasy, Military, Sci-Fi",Special,1,6.8,
4115,Gregory Horror Show: The Last Train,"Comedy, Demons, Horror, Mystery, Supernatural, Vampire",TV,26,6.8,Obliviscaris Spire
4116,Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,"Demons, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",OVA,3,6.8,Celestara Veil
4117,Hyakka Ryouran: Samurai After,"Ecchi, Harem",OVA,2,6.8,Celestara Veil
4118,Ie Naki Ko (Movie),"Adventure, Drama, Slice of Life",Movie,1,6.8,Chronovault Nexus
4119,Ikkitousen: Dragon Destiny Specials,"Ecchi, Martial Arts, School, Super Power",Special,6,6.8,Obliviscaris Spire
4120,Kanojo ga Flag wo Oraretara OVA,"Comedy, Harem, Romance, School",OVA,1,6.8,Celestara Veil
4121,Kujira no Chouyaku,"Drama, Fantasy, Kids",Movie,1,6.8,Chronovault Nexus
4122,Lemon Angel Project,"Drama, Music",TV,13,6.8,Luminarch Dominion
4123,Madan no Ou to Vanadis: Tigre-kun to Vanadi-chu,Comedy,ONA,14,6.8,Luminarch Dominion
4124,Magical★Taruruuto-kun,"Adventure, Comedy, Ecchi, Fantasy, Magic, School",TV,87,6.8,Celestara Veil
4125,Mahou no Princess Minky Momo: Yume wo Dakishimete,"Magic, Shoujo",TV,62,6.8,Celestara Veil
4126,Maken-Ki! OVA,"Action, Ecchi, Harem, Martial Arts, School, Super Power",OVA,2,6.8,Celestara Veil
4127,Maze☆Bakunetsu Jikuu (TV),"Adventure, Comedy, Fantasy, Mecha, Shounen",TV,25,6.8,Chronovault Nexus
4128,Meiken Jolie,"Adventure, Historical",TV,52,6.8,Chronovault Nexus
4129,Morita-san wa Mukuchi. 2,"Comedy, School, Slice of Life",TV,13,6.8,Celestara Veil
4130,Mushi-Uta,"Action, Fantasy, Sci-Fi",TV,12,6.8,Chronovault Nexus
4131,Patalliro! Stardust Keikaku,"Adventure, Comedy, Romance, Shoujo, Shounen Ai",Movie,1,6.8,Celestara Veil
4132,Prince of Tennis: Message in a Bottle,"Comedy, School, Shounen, Sports",Special,1,6.8,Obliviscaris Spire
4133,Recorder to Randoseru Mi☆,"Comedy, School, Seinen, Slice of Life",TV,12,6.8,Celestara Veil
4134,Redline Pilot,"Cars, Sports",Special,1,6.8,Obliviscaris Spire
4135,Sakamoto desu ga? Special,"Comedy, School, Seinen",Special,1,6.8,Celestara Veil
4136,Shadow Skill,"Adventure, Drama, Fantasy, Shounen",OVA,1,6.8,Chronovault Nexus
4137,"The☆Doraemons: Strange, Sweets, Strange?",Fantasy,Movie,1,6.8,Chronovault Nexus
4138,Tsukuyomi: Moon Phase Special,"Comedy, Dementia, Slice of Life",Special,1,6.8,Luminarch Dominion
4139,Uchuu no Kishi Tekkaman Blade OVA: Burning Clock,"Action, Mecha, Sci-Fi, Shounen",OVA,1,6.8,
4140,Uchuu Senkan Yamato 2199: Tsuioku no Koukai,"Action, Drama, Military, Sci-Fi, Space",Special,1,6.8,
4141,Ys: Tenkuu no Shinden - Adol Christine no Bouken,"Adventure, Demons, Drama, Fantasy, Magic",OVA,4,6.8,Chronovault Nexus
4142,8-gatsu no Symphony: Shibuya 2002-2003,Music,Movie,1,6.79,Luminarch Dominion
4143,Afro Samurai Pilot,"Action, Martial Arts, Samurai, Seinen",Special,1,6.79,Aetherial Sanctum
4144,Ai Tenshi Densetsu Wedding Peach DX,"Adventure, Comedy, Magic, Romance, Shoujo",OVA,4,6.79,Celestara Veil
4145,Appleseed,"Action, Adventure, Mecha, Police, Sci-Fi",OVA,1,6.79,
4146,Bakuto Sengen Daigander,"Adventure, Mecha, Sci-Fi, Shounen",TV,39,6.79,
4147,Bari Bari Densetsu (1987),"Action, Drama, Shounen, Sports",Movie,1,6.79,Obliviscaris Spire
4148,Gegege no Kitarou (1996),"Adventure, Demons, Supernatural",TV,114,6.79,Obliviscaris Spire
4149,Hashire! Shiroi Ookami,Drama,Movie,1,6.79,Luminarch Dominion
4150,Je T&#039;aime,Sci-Fi,OVA,1,6.79,Luminarch Dominion
4151,Kaibutsu-kun (1980),"Comedy, Horror, Kids",TV,94,6.79,Chronovault Nexus
4152,Ketsuekigata-kun!,Comedy,TV,12,6.79,Luminarch Dominion
4153,Kimagure Orange☆Road: Shounen Jump Special,"Drama, Romance, Shounen",OVA,1,6.79,Celestara Veil
4154,Kinnikuman II Sei: Muscle Ninjin Soudatsu sen! Choujin Daisensou,"Action, Comedy, Drama, Martial Arts, Romance, Samurai",Movie,1,6.79,Aetherial Sanctum
4155,Kiss Dum: Engage Planet,"Mecha, Military, Sci-Fi",TV,26,6.79,
4156,Konjiki no Gash Bell!!: Hashire Gash!! Ubawareta Umagon,"Adventure, Comedy, Magic, Shounen, Supernatural",OVA,1,6.79,Obliviscaris Spire
4157,Kyokujitsu no Kantai,"Action, Drama, Historical, Military",OVA,15,6.79,
4158,Loveless Specials,"Comedy, Fantasy, Romance, Shounen Ai, Supernatural",Special,6,6.79,Celestara Veil
4159,Lupin III (2015): Italian Game,"Action, Adventure, Comedy, Shounen",Special,1,6.79,Obliviscaris Spire
4160,Mahou no Princess Minky Momo,"Magic, Shoujo",TV,63,6.79,Celestara Veil
4161,Mamotte Shugogetten!,"Comedy, Fantasy, Magic, Romance, Shounen",TV,22,6.79,Celestara Veil
4162,Meiji Tokyo Renka Movie: Yumihari no Serenade,"Fantasy, Harem, Romance, Shoujo",Movie,1,6.79,Celestara Veil
4163,Mirai Nikki (TV): Ura Mirai Nikki,"Action, Comedy, Mystery, Psychological, Shounen, Supernatural, Thriller",Special,10,6.79,Obliviscaris Spire
4164,Moero! Top Striker,"Action, Shounen, Sports",TV,49,6.79,Obliviscaris Spire
4165,Nagareboshi Lens,"Romance, Shoujo",OVA,1,6.79,Celestara Veil
4166,Nichijou: Tanken Nichijou no Machi,"Comedy, School, Slice of Life",Special,14,6.79,Celestara Veil
4167,Okusama ga Seitokaichou! OVA: Okusama Gekijou,"Comedy, Shounen",Special,7,6.79,Luminarch Dominion
4168,Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,"Action, Adventure, Comedy, Fantasy, Kids",Special,1,6.79,Chronovault Nexus
4169,Pokemon: Pichu to Pikachu,"Adventure, Comedy, Fantasy, Kids",Movie,1,6.79,Chronovault Nexus
4170,Skull Man,"Action, Mystery, Super Power",TV,13,6.79,Obliviscaris Spire
4171,Soreyuke! Uchuu Senkan Yamamoto Yohko (1999),"Action, Adventure, Sci-Fi",TV,26,6.79,Chronovault Nexus
4172,Super Robot Taisen OG The Animation,"Mecha, Sci-Fi, Shounen, Space",OVA,3,6.79,
4173,Teekyuu 6,"Comedy, Shounen, Sports",TV,12,6.79,Obliviscaris Spire
4174,Tokimeki Memorial: Only Love Specials,"Comedy, School",Special,2,6.79,Celestara Veil
4175,Uchuu Senshi Baldios,"Adventure, Drama, Mecha, Sci-Fi, Shounen, Space",TV,34,6.79,
4176,Absolute Duo,"Action, Ecchi, Harem, Romance, School, Supernatural",TV,12,6.78,Celestara Veil
4177,Ai no Gakko Cuore Monogatari,"Drama, Historical, Slice of Life",TV,26,6.78,Chronovault Nexus
4178,Akame ga Kill! Theater,Comedy,ONA,24,6.78,Luminarch Dominion
4179,Amaenaide yo!! Katsu!!: Damasarenaide yo!!,"Comedy, Ecchi, Romance, Supernatural",Special,1,6.78,Celestara Veil
4180,Bayonetta: Bloody Fate,"Action, Demons, Fantasy, Super Power",Movie,1,6.78,Obliviscaris Spire
4181,Chirorin Mura Monogatari,"Kids, Slice of Life",TV,170,6.78,Chronovault Nexus
4182,Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou,"Action, Mecha",Special,7,6.78,
4183,D.C.S.S: Da Capo Second Season Omake,"Comedy, Harem, Romance",Special,7,6.78,Celestara Veil
4184,Di Gi Charat: Hoshi no Tabi,Comedy,Movie,1,6.78,Luminarch Dominion
4185,Dog Days Recap,"Action, Adventure, Fantasy, Magic",Special,1,6.78,Chronovault Nexus
4186,Esper Mami,"Comedy, Ecchi, Magic, School, Super Power, Supernatural",TV,119,6.78,Celestara Veil
4187,Five Star Stories,"Action, Drama, Fantasy, Mecha, Sci-Fi",Movie,1,6.78,
4188,Fushigi no Umi no Nadia Specials,"Adventure, Sci-Fi",Special,10,6.78,Chronovault Nexus
4189,Gambo,"Demons, Historical",Movie,1,6.78,Chronovault Nexus
4190,Ginga Tetsudou 999: Glass no Clair,"Drama, Sci-Fi, Space",Movie,1,6.78,
4191,GS Mikami: Gokuraku Daisakusen!!,"Comedy, Fantasy",Movie,1,6.78,Chronovault Nexus
4192,Hamelin no Violin Hiki,"Adventure, Drama, Fantasy",TV,25,6.78,Chronovault Nexus
4193,Happy☆Lesson: Hoka Hoka★Kanna to Futari Kiri,"Comedy, Harem, Romance",Special,1,6.78,Celestara Veil
4194,Idaten Jump,"Game, School, Sports",TV,52,6.78,Eclipsed Reverie
4195,Iketeru Futari,"Comedy, Ecchi, Romance, School, Seinen",TV,16,6.78,Celestara Veil
4196,Jungle Taitei (1989),"Adventure, Drama",TV,52,6.78,Chronovault Nexus
4197,Juubee Ninpuuchou: Ryuuhougyoku-hen,"Adventure, Horror, Magic, Martial Arts, Shounen, Supernatural",TV,13,6.78,Obliviscaris Spire
4198,Kakutou Bijin Wulong,"Action, Ecchi, Martial Arts",TV,25,6.78,Obliviscaris Spire
4199,Kamen Rider Den-O: Imagin Anime,"Action, Adventure, Comedy, Kids, Super Power",OVA,10,6.78,Chronovault Nexus
4200,Kanamewo,"Drama, Romance, Shoujo Ai, Supernatural",ONA,1,6.79,Celestara Veil
4201,Kindaichi Shounen no Jikenbo: Shinigami Byouin Satsujin Jiken,"Mystery, Shounen",Special,1,6.78,Obliviscaris Spire
4202,Koharu Biyori,"Comedy, Ecchi, Sci-Fi",OVA,3,6.78,Celestara Veil
4203,Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,Fantasy,TV,52,6.78,Chronovault Nexus
4204,Medaka no Gakkou,Comedy,OVA,5,6.78,Luminarch Dominion
4205,Megane na Kanojo,"Comedy, Romance, School, Shounen",OVA,4,6.78,Celestara Veil
4206,Mezzo DSA,"Action, Adventure, Comedy, Mystery, Sci-Fi",TV,13,6.78,Obliviscaris Spire
4207,Occultic;Nine,"Mystery, Sci-Fi",TV,12,6.78,Obliviscaris Spire
4208,Oniichan dakedo Ai Sae Areba Kankeinai yo ne!,"Comedy, Ecchi, Harem, Romance, School",TV,12,6.78,Celestara Veil
4209,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: Ore no Imouto ga Konnani Eroge na Wake Nai,"Comedy, Romance",Special,1,6.78,Celestara Veil
4210,Passion,Music,Music,1,6.78,Luminarch Dominion
4211,Planetarium Uchuu Kyoudai: Itten no Hikari,"Comedy, Sci-Fi, Seinen, Slice of Life",Movie,1,6.79,Luminarch Dominion
4212,Pokemon Best Wishes!,"Action, Adventure, Comedy, Fantasy, Kids",TV,84,6.78,Chronovault Nexus
4213,Pokemon Best Wishes! Season 2,"Action, Adventure, Comedy, Fantasy, Kids",TV,24,6.78,Chronovault Nexus
4214,"Pokemon Fushigi no Dungeon: Toki no Tankentai, Yami no Tankentai","Adventure, Fantasy",Special,1,6.78,Chronovault Nexus
4215,Pokemon: Bokutachi Pichu Brothers - Party wa Oosawagi! no Maki,"Adventure, Comedy, Fantasy, Kids",Special,1,6.78,Chronovault Nexus
4216,Princess Princess Specials,"Comedy, School, Shoujo",Special,12,6.75,Celestara Veil
4217,Pyuu to Fuku! Jaguar,"Comedy, Music, Shounen",OVA,3,6.78,Luminarch Dominion
4218,Rokujouma no Shinryakusha!?,"Comedy, Romance, School, Supernatural",Special,1,6.78,Celestara Veil
4219,Seirei Tsukai no Blade Dance Specials,"Action, Ecchi, Fantasy, School, Supernatural",Special,6,6.78,Celestara Veil
4220,Tamala 2010: A Punk Cat in Space,"Comedy, Dementia, Psychological, Sci-Fi",Movie,1,6.78,Luminarch Dominion
4221,Toki wa Meguru: Tokyo Station,Slice of Life,ONA,1,6.78,Luminarch Dominion
4222,True Tears Epilogue,"Drama, Music, Romance",Music,1,6.78,Luminarch Dominion
4223,Wanwan Sanjuushi,"Adventure, Historical",TV,26,6.78,Chronovault Nexus
4224,Wellber no Monogatari: Sisters of Wellber,"Action, Adventure, Comedy, Drama, Fantasy, Historical",TV,13,6.78,Chronovault Nexus
4225,Ai Tenshi Densetsu Wedding Peach,"Adventure, Comedy, Magic, Romance, Shoujo",TV,51,6.77,Celestara Veil
4226,Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,"Comedy, Parody",Special,13,6.77,Luminarch Dominion
4227,B-Project: Kodou＊Ambitious,"Music, Shoujo",TV,12,6.77,Luminarch Dominion
4228,Bakuten Shoot Beyblade 2002,"Action, Adventure, Comedy, Sci-Fi, Shounen, Sports",TV,51,6.77,Obliviscaris Spire
4229,Betterman,"Action, Adventure, Comedy, Drama, Horror, Mecha, Mystery, Psychological, Sci-Fi, Shounen",TV,26,6.77,Obliviscaris Spire
4230,Chance Triangle Session,"Drama, Music, Slice of Life",TV,13,6.77,Luminarch Dominion
4231,Choujikuu Kidan Southern Cross,"Action, Drama, Mecha, Sci-Fi",TV,23,6.77,
4232,Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",Movie,1,6.77,Celestara Veil
4233,"Doraemon Movie: Boku, Momotarou no Nanna no Sa","Adventure, Fantasy, Kids, Sci-Fi, Shounen",Movie,1,6.77,Chronovault Nexus
4234,Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,"Action, Adventure, Fantasy, Magic, Shounen",Movie,1,6.77,Chronovault Nexus
4235,Egao,"Music, Slice of Life",Music,1,6.77,Luminarch Dominion
4236,Eureka Seven: New Order,"Adventure, Drama, Mecha, Romance, Sci-Fi",Special,1,6.77,
4237,Gegege no Kitarou (1985),"Comedy, Supernatural",TV,108,6.77,Luminarch Dominion
4238,Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu,"Action, Mecha, Sci-Fi, Shounen",Movie,1,6.77,
4239,Highschool of the Dead: Drifters of the Dead,"Comedy, Ecchi, Supernatural",OVA,1,6.77,Celestara Veil
4240,Honoo no Tenkousei,"Action, Comedy, Martial Arts, Parody, School, Shounen, Sports",OVA,2,6.77,Obliviscaris Spire
4241,IGPX: Immortal Grand Prix,"Mecha, Sci-Fi, Shounen, Sports",TV,5,6.77,
4242,Ikkitousen: Great Guardians Specials,"Comedy, Ecchi",Special,6,6.77,Celestara Veil
4243,Jungle Taitei: Susume Leo!,"Adventure, Shounen",TV,26,6.77,Chronovault Nexus
4244,Katte ni Kaizou Specials,"Comedy, Parody, School, Sci-Fi, Shounen",Special,3,6.77,Celestara Veil
4245,Kita e.: Diamond Dust Drops,"Drama, Romance, Slice of Life",TV,12,6.77,Celestara Veil
4246,Kuiba: Zhi Shiwanhuoji,"Action, Adventure, Fantasy, Kids",Movie,1,6.77,Chronovault Nexus
4247,Kuusou Kagaku Sekai Gulliver Boy,"Action, Adventure, Fantasy, Magic, Mecha",TV,50,6.77,
4248,Lupin III: Green vs. Red,"Action, Comedy, Mystery, Shounen",OVA,1,6.77,Obliviscaris Spire
4249,Mahou no Yousei Persia,"Comedy, Magic",TV,48,6.77,Luminarch Dominion
4250,"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku dake Dewanai no ja!","Adventure, Demons, Fantasy, Romance",Special,1,6.77,Chronovault Nexus
4251,Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze,"Adventure, Comedy, Sports",Movie,1,6.77,Chronovault Nexus
4252,MM! Specials,"Comedy, Ecchi, School",Special,9,6.77,Celestara Veil
4253,Nagato Yuki-chan no Shoushitsu,"Comedy, Romance, School, Seinen, Slice of Life",TV,16,6.77,Celestara Veil
4254,Nanaka 6/17 Special,"Comedy, Drama, Romance, Shounen, Slice of Life",Special,1,6.77,Celestara Veil
4255,Nurse Witch Komugi-chan Magikarte,"Comedy, Magic, Parody",OVA,5,6.77,Luminarch Dominion
4256,Ore wa Teppei,"Action, Shounen, Sports",TV,28,6.77,Obliviscaris Spire
4257,Shamanic Princess,"Action, Fantasy, Magic, Romance",OVA,6,6.77,Chronovault Nexus
4258,Sora no Method,"Drama, Fantasy, School, Slice of Life",TV,13,6.77,Celestara Veil
4259,Sword Art Online II: Sword Art Offline II,Comedy,Special,9,6.77,Luminarch Dominion
4260,Teekyuu,"Comedy, School, Shounen, Sports",TV,12,6.77,Obliviscaris Spire
4261,Tetsujin 28-gou: Hakuchuu no Zangetsu,"Action, Adventure, Mecha, Sci-Fi",Movie,1,6.77,
4262,The Hakkenden,"Action, Adventure, Demons, Historical, Martial Arts, Samurai, Shounen",OVA,6,6.77,Aetherial Sanctum
4263,Tide-Line Blue,"Action, Adventure, Drama, Military, Shounen",TV,12,6.77,
4264,Universe,"Fantasy, Music",Music,1,6.77,Luminarch Dominion
4265,Wooser no Sono Higurashi: Kakusei-hen,"Comedy, Fantasy, Slice of Life",TV,12,6.77,Chronovault Nexus
4266,Wooser no Sono Higurashi: Mugen-hen,"Comedy, Fantasy, Slice of Life",TV,13,6.77,Chronovault Nexus
4267,009 Re:Cyborg,"Action, Adventure, Mecha, Sci-Fi",Movie,1,6.76,
4268,Anime de Wakaru Shinryounaika,"Comedy, Seinen",ONA,20,6.76,Luminarch Dominion
4269,Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai,"Comedy, Romance",ONA,1,6.76,Celestara Veil
4270,Bari Bari Densetsu,"Action, Drama, Shounen, Sports",OVA,2,6.76,Obliviscaris Spire
4271,Chikyuu Bouei Kazoku,"Action, Comedy, Sci-Fi, Shounen",TV,13,6.76,Obliviscaris Spire
4272,D.C.III: Da Capo III,"Drama, Ecchi, Romance, School",TV,13,6.76,Celestara Veil
4273,Digimon Savers: Agumon! Gaomon! Lalamon! Bakuretsu! Jougai Last Battle!,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Supernatural",Special,1,6.76,Obliviscaris Spire
4274,Dragon Ball Z: Atsumare! Gokuu World,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",OVA,1,6.76,Obliviscaris Spire
4275,Fate/Zero: Onegai! Einzbern Soudanshitsu,Comedy,Special,6,6.76,Luminarch Dominion
4276,Freedom Previsited,"Action, Adventure, Sci-Fi",OVA,1,6.76,Chronovault Nexus
4277,Happy☆Lesson,"Comedy, Harem, Romance, School",OVA,5,6.76,Celestara Veil
4278,Hikari no Densetsu,"Music, Romance, Shoujo, Sports",TV,19,6.76,Celestara Veil
4279,Jewelpet,"Fantasy, Magic, Shoujo",TV,52,6.76,Chronovault Nexus
4280,Kurogane Communication,"Action, Adventure, Drama, Sci-Fi",TV,24,6.76,Chronovault Nexus
4281,Kyoushirou to Towa no Sora Specials,"Drama, Magic, Romance, Shounen",Special,6,6.76,Celestara Veil
4282,Mahou no Star Magical Emi,"Comedy, Magic, Shoujo, Slice of Life",TV,38,6.76,Celestara Veil
4283,Medarot Damashii,"Action, Adventure, Sci-Fi",TV,39,6.76,Chronovault Nexus
4284,Mobile Suit Gundam AGE: Memory of Eden,"Action, Drama, Mecha, Military, Sci-Fi",OVA,2,6.76,
4285,Mouryou no Hako Special,"Mystery, Seinen, Supernatural, Thriller",Special,1,6.76,Obliviscaris Spire
4286,Musaigen no Phantom World Special,"Action, Comedy, Fantasy, Supernatural",Special,1,6.76,Obliviscaris Spire
4287,Nekogami Yaoyorozu: Ohanami Ghostbusters,"Comedy, Seinen, Supernatural",OVA,1,6.76,Obliviscaris Spire
4288,Nezha Nao Hai,Kids,Movie,1,6.76,Chronovault Nexus
4289,No Game No Life Specials,"Ecchi, Fantasy, Game",Special,6,6.76,Eclipsed Reverie
4290,"Ore, Twintail ni Narimasu.","Action, Comedy, Fantasy, Romance, School, Shounen",TV,12,6.76,Celestara Veil
4291,Otome wa Boku ni Koishiteru Special,"Comedy, Romance, School",Special,1,6.76,Celestara Veil
4292,Persona: Trinity Soul,"Action, Sci-Fi, Super Power",TV,26,6.76,Obliviscaris Spire
4293,SKET Dance: SD Character Flash Anime,"Comedy, School, Shounen",ONA,16,6.76,Celestara Veil
4294,Souryuuden,"Drama, Mystery, Super Power, Supernatural",OVA,12,6.76,Obliviscaris Spire
4295,Spider Riders: Oracle no Yuusha-tachi,"Action, Adventure, Mecha",TV,26,6.76,
4296,Tales of Gekijou,Comedy,Special,5,6.76,Luminarch Dominion
4297,Teekyuu 8,"Comedy, Shounen, Sports",TV,12,6.76,Obliviscaris Spire
4298,The House,"Drama, Fantasy, Kids",Movie,1,6.76,Chronovault Nexus
4299,Time Bokan Series: Yatterman,"Adventure, Comedy, Mecha",TV,108,6.76,
4300,Tono to Issho,"Comedy, Historical, Parody, Samurai, Seinen",OVA,1,6.76,Aetherial Sanctum
4301,Umi Monogatari: Anata ga Ite Kureta Koto,"Drama, Fantasy, Magic, Romance, Supernatural",TV,12,6.76,Celestara Veil
4302,Ushinawareta Mirai wo Motomete: Ushinawareta Natsuyasumi wo Motomete,Romance,Special,1,6.76,Celestara Veil
4303,Warau Salesman,"Comedy, Drama, Seinen",TV,103,6.76,Celestara Veil
4304,Winter Garden,"Drama, Romance, Shoujo, Slice of Life",Special,2,6.76,Celestara Veil
4305,Xiao Qian,"Action, Drama, Fantasy, Romance",Movie,1,6.76,Chronovault Nexus
4306,.hack//Tasogare no Udewa Densetsu,"Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen",TV,12,6.75,Eclipsed Reverie
4307,Aishite Knight,"Comedy, Romance, Shoujo",TV,42,6.75,Celestara Veil
4308,Akage no Anne: Green Gables e no Michi,"Adventure, Historical, Shoujo, Slice of Life",Movie,1,6.75,Chronovault Nexus
4309,Canaan: Minorikawa Report 201X Shanghai,"Action, Seinen",Special,1,6.75,Luminarch Dominion
4310,Choujuushin Gravion Zwei,"Adventure, Comedy, Mecha, Sci-Fi, Shounen",TV,12,6.75,
4311,Dog Days&#039;&#039;: Limone Resort Tenbou Onsen!,"Ecchi, Fantasy, Magic",Special,1,6.75,Chronovault Nexus
4312,Doraemon: It&#039;s New Year!,"Comedy, Kids, Sci-Fi, Shounen",Special,1,6.75,Chronovault Nexus
4313,Dragon Ball GT: Goku Gaiden! Yuuki no Akashi wa Suushinchuu,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",Special,1,6.75,Obliviscaris Spire
4314,E&#039;s Otherwise,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural",TV,26,6.75,
4315,Fatal Fury: The Motion Picture,"Action, Adventure, Drama, Martial Arts, Romance, Shounen",Movie,1,6.75,Obliviscaris Spire
4316,Gakumon!: Ookami Shoujo wa Kujikenai,"Comedy, School, Shounen",ONA,3,6.75,Celestara Veil
4317,Ganso Tensai Bakabon,"Comedy, Slice of Life",TV,103,6.75,Luminarch Dominion
4318,Ginga Tetsudou 999: Diamond Ring no Kanata e,"Adventure, Drama, Sci-Fi",Movie,1,6.75,Chronovault Nexus
4319,Girls und Panzer Heartful Tank Disc: Fushou - Akiyama Yukari no Sensha Kouza,"Military, School",Special,2,6.75,Celestara Veil
4320,Gun Frontier,"Action, Adventure, Drama, Historical, Sci-Fi, Seinen",TV,13,6.75,Chronovault Nexus
4321,Hagure Yuusha no Aesthetica: Hajirai Ippai,"Comedy, Ecchi",Special,6,6.75,Celestara Veil
4322,Hakugei Densetsu,"Adventure, Sci-Fi",TV,26,6.75,Chronovault Nexus
4323,Haou Taikei Ryuu Knight,"Action, Adventure, Fantasy, Mecha",TV,52,6.75,
4324,Hikyou Tanken Fam &amp; Ihrlie,"Action, Adventure, Comedy, Fantasy, Magic",OVA,4,6.75,Chronovault Nexus
4325,Ikkitousen: Xtreme Xecutor Specials,"Comedy, Ecchi",Special,6,6.75,Celestara Veil
4326,Jetter Mars,"Action, Drama, Mecha, Sci-Fi",TV,27,6.75,
4327,Kemeko Deluxe!,"Action, Comedy, Ecchi, Romance, School, Sci-Fi, Shounen",TV,12,6.75,Celestara Veil
4328,Koihime†Musou OVA,"Comedy, Fantasy, School",OVA,1,6.75,Celestara Veil
4329,Line Offline: Salaryman,Comedy,TV,114,6.75,Luminarch Dominion
4330,Mach GoGoGo,"Adventure, Cars, Shounen, Sports",TV,52,6.75,Obliviscaris Spire
4331,Mahou no Princess Minky Momo: Yume no Naka no Rondo,"Magic, Shoujo",OVA,1,6.75,Celestara Veil
4332,Majokko Megu-chan,"Magic, Shoujo",TV,72,6.75,Celestara Veil
4333,Mama wa Poyopoyo Saurus ga Osuki,"Comedy, Kids, Slice of Life",TV,52,6.75,Chronovault Nexus
4334,Nanaka 6/17,"Comedy, Drama, Romance, Shounen, Slice of Life",TV,12,6.75,Celestara Veil
